序号,上线时间,版本号,类型,主要功能,负责人,备注,,,,,,,,,,,,,
214,12-26-2025,6.11.0,正式发版,OC图片降本方案；payssion 订单id优化；恢复续订 - 支持自行维护订阅的支付渠道，可便捷恢复续订；恢复续订功能优化；取消订阅时挽留弹窗；首页 oc 卡片大小调整；首页discover数据pre和线上环境隔离；continue方案开ab测试（尝试在换行前截断）；支持OC并行多个会话 - 重构最后一句话底层；支持OC并行多个会话 - UI&交互修改（本期不发版）；自定义语音功能；新模型测试 - GLM 4.6；新模型测试 - GPT 5.2；新模型测试 - Gemini 3 Flash；AI辅助创建需求调研；榜单 UI 细节优化；新内容分级合规 - 新增加图片机审色情分级；新内容分级合规 - 合规相关代码梳理；新增图片机审模型（调研+测试）；sub服务添加envoy；补充埋点和监控；服务端测试环境埋点导入官方ck；iOS Crushmash - 訂閱 -- 暢聊包相關；iOS Crushmash - 群聊功能 -- 創建/編輯群聊頁；iOS Crushmash - 群聊功能 -- 群聊聊天頁；iOS Crushmash - 群聊功能 -- 群聊列表頁+創建群聊入口；SEO需求-官网首页底部加品牌词&TDK修改,,,,,,,,,,,,,,,
215,12-26-2025,临时,临时发版,1. 【线上bug，p1】修复圣诞活动年付折扣价格，显示差价计算错误的bug；2. 【运营临时需求】- 潜力创作者/OC banner轮播,,,,,,,,,,,,,,,
213,12-25-2025,临时,临时发版,1. 【服务端发版，特批】回滚continue相关修改到 12/12的版本，处理用户反馈的衔接问题，免测。,,,,,,,,,,,,,,,
212,12-24-2025,临时,临时发版,服务端【特批，配置调整】；1. paypal2继续放量；a. 调整购买消息放量由60-99调整为40-99；2. Rapyd支付渠道放量调整；a. Rapyd 支付渠道目前开放了visa通道，尝试放量部分默认支付观察效果；b. 订阅会员默认支付放量90-99；c. 其他支付渠道配置增加“visa”通道；3. GB地区成人认证全量；a. 目前放量80%，考虑收入正向提升和合规，本次放量至95%，保留5%长期对照；4. 其他支付渠道新版UI实验放量；a. 实验放量由20%放量至80%；5. App支付页面新版UI实验放量,,,,,,,,,,,,,,,
210,12-23-2025,临时,临时发版,1. 【线上bug，p0】修复圣诞盲盒埋点bug,,,,,,,,,,,,,,,
211,12-23-2025,临时,临时发版,【埋点补充，急急如律令】搜索埋点补充与补参,,,,,,,,,,,,,,,
209,12-22-2025,临时,临时发版,【临时需求，p2】增加web端飘雪特效开关,,,,,,,,,,,,,,,
208,12-20-2025,临时,临时发版,1. 【服务端临时发版，特批】处理leo、mochi continue重复问题，自测观测数据,,,,,,,,,,,,,,,
207,12-16-2025,临时,临时发版,1. 【新模型配置，急急如律令】Mochi V2,,,,,,,,,,,,,,,
205,12-15-2025,6.10.0,正式发版,购买钻石接入APG；购买钻石接入OnlyPay；恢复续订 - 支持自行维护订阅的支付渠道，可便捷恢复续订；取消订阅时挽留弹窗；商品增加VAT税费；圣诞节商业化活动；continue截断优化 - 特殊case处理；light模式下聊天界面上方按钮优化；mobile 聊天消息編輯時，隱藏 footer input；支持OC并行多个会话 - 方案设计；自定义语音功能；Claude Opus 4.5 问题排查；mixboard模型网关搭建；eco sonnet 4 测试新渠道 + 线上灰度放量；新模型测试 - GLM 4.6 / GPT 5.2 / Grok 4 / Mochi V2；创建 - Save 按钮展示兜底逻辑；榜单 - 作者月榜 pre数据与正式数据隔离；榜单 - 数据逻辑优化，提高SFW榜单得分；榜单 - 补充数据兜底过滤；榜单 - 月榜数据数据提前抓取+预警；补充埋点和监控；調研頁面優化；服务端性能问题排查+优化；assemblyCharacter 构建频率优化；报警群问题查找与优化；代码优化，目标节省内存、cpu开销；熔断告警迁移；詳情彈窗載入套用局部骨架屏；iOS Crushmash - Event tag落地页；iOS Crushmash - 聊天对话内产生新消息的时候红点 + 气泡提示用户,,,,,,,,,,,,,,,
206,12-15-2025,临时,临时发版,1. 【线上性能问题，特批】character_metric 中 OC 点击指标写入补充熔断器，避免数据库整体性能受损；2. 【特批】优化leo、stheno continue场景下的prompt，处理continue优化后空回复增加问题,,,,,,,,,,,,,,,
203,12-12-2025,临时,临时发版,1. 【运营临时需求】- 潜力创作者/OC banner轮播；2. 【服务端发版，急急如律令】Ultra Claude Opus 4.5 上线相关代码和配置（不影响其他模型）；3. 【服务端发版，特批】OC数量比6月涨了100w，导致并发加载启动优化效果变差，启动变慢，需要重新调整参数发版，不影响功能无需测试,,,,,,,,,,,,,,,
204,12-12-2025,临时,临时发版,1. 【特批】mopoga落地页套餐顺序修改,,,,,,,,,,,,,,,
202,12-11-2025,临时,临时发版,1. 【服务端发版，急急如律令】continue优化放量100%,,,,,,,,,,,,,,,
201,12-09-2025,临时,临时发版,服务端；【配置调整，特批】支付渠道“使用App支付”，调整为HK可见，配合修复线上bug测试；【配置调整，特批】调整paypal2放量，按计划逐步替代paypal渠道；【配置调整，特批】调整rapyd放量，尝试提高rapyd支付成功率；【线上bug，p0】修复“其他支付渠道”中，使用App支付无法跳转的问题；【线上bug，p2】修复web端请求钻石接口的频次过高的问题；【临时需求，p1】调整其他支付渠道内，rapyd支付按钮文案，改为Pay with MasterCard，尝试提高rapyd支付成功率,,,,,,,,,,,,,,,
199,12-08-2025,临时,临时发版,【线上bug，p0】调整支付渠道配置，隐藏 “其他支付渠道” 中 “使用App支付” 入口,,,,,,,,,,,,,,,
200,12-08-2025,临时,临时发版,1.【线上p0 bug】- 解决gp包排行榜下发2/3级数据的问题,,,,,,,,,,,,,,,
196,12-05-2025,6.9.0,正式发版,第三方成人认证调研；continue截断优化继续放量；记忆总结逻辑优化；聊天优化 - 提升edit时的字符数限制；AI 语音 - 自定义语音功能demo；Mochi V2；Claude Opus 4.5；iOS Crushmash - 场景卡Name改选填；创建一键导入功能埋点优化；Stripe主站包重构Cover相关功能；榜单细节优化-修改分级选项保留时长；榜单数据逻辑优化 - pre与正式数据隔离；榜单数据逻辑优化 - 数据提前抓取+预警；创作者新增ai图片通知；后台站内信配置优化；Layout 配置層級調整；stripe-ios包自动上架；补充站内信系统埋点与监测；技术优化 - 搜索服务升级；小弹窗组件调整；Mopoga&Lewdspot站SEO优化需求1期-首页优化；SEO需求-官网首页底部加juicy关键词；技术调研-如何爬取游戏资源&自动化部署；代理配置 - 在V2ray Admin页面上完成json配置+生成二维码；iOS Crushmash - AI图片；iOS Crushmash - 创建入口调整；iOS Crushmash - 新用户引导；iOS Crushmash - 登录失败原因统计；iOS Crushmash - 首页Creator tab；twitter看板需求,,,,,,,,,,,,,,,
197,12-05-2025,6.9.1,正式发版,首月折扣；邮件更新；抽奖功能；网站氛围动画 & banner等静态UI；抽奖页面 & 相关动画；功能入口展示；功能逻辑联调；商品展示 & 购买；支付购买及记录,,,,,,,,,,,,,,,
198,12-05-2025,临时,临时发版,1. 【运营临时需求】- 潜力创作者/OC banner轮播,,,,,,,,,,,,,,,
194,12-04-2025,临时,临时发版,【特批，配置调整】取消rapyd支付托管页面3ds认证,,,,,,,,,,,,,,,
195,12-04-2025,临时,临时发版,【特批】mopoga落地页发版,,,,,,,,,,,,,,,
193,12-03-2025,临时,临时发版,服务端；1. 【线上bug p0】修复paypal2 一次性商品支付未入账的问题；2. 【服务端发版，特批】调整线上图片策略分组 - 分组1推全；3. 【线上 p1 bug】修复重复发放徽章的线上问题；4. 【特批】开发手动+延迟发放徽章的功能；1. 【线上bug P0】修复因intro格式解析错误导致审核OC时报错无法正常审核的问题；2. 【线上bug p0】修复支付路由，国家选择Canada时无法选择state的bug,,,,,,,,,,,,,,,
192,12-01-2025,临时,临时发版,【线上P0 bug】解决首页 Editor's Choice Tab 下 Tag 过滤异常的问题,,,,,,,,,,,,,,,
190,11-28-2025,临时,临时发版,1. 【运营临时需求】- 潜力创作者/OC banner轮播徐唯原,,,,,,,,,,,,,,,
191,11-28-2025,临时,临时发版,【特批 P1】隐藏Web mobile端首页提示登录弹窗，解决App下载Banner点击率下降问题；cc徐唯原,,,,,,,,,,,,,,,
187,11-27-2025,临时,临时发版,1. 【服务端临时发版】；a. 【改配置，特批】新版排行榜数据上线；b. 【特批】图片功能补充埋点排查图片触发问题（无需测试）；c. 【线上P1 bug】解决新版排行榜数据异常问题；2. 【前端临时发版】徐唯原；a. 【线上p1 bug】修复 Target OC 场景卡显示异常的问题；b. 【特批】新版排行榜页面上线,,,,,,,,,,,,,,,
188,11-27-2025,临时,临时发版,a. 【改配置，特批】新版排行榜数据上线；b. 【特批】图片功能补充埋点排查图片触发问题（无需测试）；c. 【线上P1 bug】解决新版排行榜数据异常问题；2. 【前端临时发版】徐唯原；a. 【线上p1 bug】修复 Target OC 场景卡显示异常的问题；b. 【特批】新版排行榜页面上线,,,,,,,,,,,,,,,
189,11-27-2025,临时,临时发版,a. 【线上p1 bug】修复 Target OC 场景卡显示异常的问题；b. 【特批】新版排行榜页面上线,,,,,,,,,,,,,,,
184,11-25-2025,临时,临时发版,1. 【前端发版，线上P1bug】群聊的选择弹窗里的OC头像加载不出来；2. 【服务端模型调整，急急如律令】Claude 3.7/Ultra Eco 3.7 下线 & Eco 4 /Ultra Eco 4 上线；3. 【服务端临时发版，特批】对于请求异常和长度限制的图像匹配请求，进行最多3次重试 + 补充日志，自测；4. 【前端发版，P1bug】修复pc端图片拖拽问题；cc徐唯原,,,,,,,,,,,,,,,
185,11-25-2025,临时,临时发版,4. 【前端发版，P1bug】修复pc端图片拖拽问题；cc徐唯原,,,,,,,,,,,,,,,
186,11-25-2025,临时,临时发版,【特批，配置调整】Paypal2 放量；【特批，配置调整】Rapyd 取消强制3DS验证,,,,,,,,,,,,,,,
182,11-21-2025,6.8.0,正式发版,App端商品价格调整显示样式；GP/AppStore 首次订阅优惠；Listpay 支付渠道调研；Mobile 订阅页面新增底部价格样式ab实验；Stripe渠道包订阅页面UI优化；growthbook调研+接入；成人认证逻辑优化；飞书支付渠道报警优化 - 运维；其他支付渠道/支付失败 选择弹窗优化；商品增加VAT税费；圣诞节商业化活动；支付按钮增加跳转App支付；新模型测试-Gemini 3.0 Pro；新模型测试-Mochi V2；聊天模塊竟品調研；聊天内增加图片功能 - 优化1；聊天内增加图片功能 - 优化5；图片策略AB分组调整；图片成本优化；首页推荐V1.0；提升memory上限；创作者新增ai图片通知；聊天内增加图片功能-合规；审核后台总记录优化-memory 审核总记录；app 切换 tab 字体不对；监控告警分级标准制定；競品調研頁面優化；局部骨架屏系統；iOS Crushmash；Mopoga & Lewdspot 站 SEO 优化需求 1 期 - 首页优化,,,,,,,,,,,,,,,
183,11-21-2025,临时,临时发版,1. 【运营临时需求】- 潜力创作者/OC banner轮播,,,,,,,,,,,,,,,
180,11-20-2025,临时,临时发版,1. 【服务端发版，急急如律令】Gemini continue优化 + Ultra Kimi K2支持代码上线；2. 【模型配置调整，特批】Gork 3 模型相关调整；3. 【模型配置调整，急急如律令】Ultra Kimi K2 上线,,,,,,,,,,,,,,,
181,11-20-2025,临时,临时发版,【特批】payssion功能修改到了表索引结构，需要在代码中同步pre环境的表结构至线上，防止线上重启后表结构混乱,,,,,,,,,,,,,,,
178,11-18-2025,临时,临时发版,1. 【运维修改配置，急急如律令】替换wiki链接,,,,,,,,,,,,,,,
179,11-18-2025,临时,临时发版,1. 【前端線上問題，P0】修復語音報錯路徑在 Web 失效的問題 徐唯原,,,,,,,,,,,,,,,
176,11-17-2025,6.7.0,正式发版,Payssion 支持更换卡片支付；购买消息上限扩容接入 Paypal2；会员延期接入 Paypal2；商品增加 VAT 税费；支付按钮增加跳转 App 支付；Claude 3.7 下架 + Claude 4 上线；模型服务器资源调整；新模型测试；Continue 优化；聊天优化项集合；图片策略 AB 实验调整；创建功能 - 报错 UI 调整；创建流程优化 - 场景卡名字改选填项；11/14 创作者资源位更新；Smash or Pass 优化；竞品调研页面优化；首页排行榜；站内 wiki 链接替换 - 运维替换，需要单独发；Mopoga & Lewdspot 站 SEO 优化需求 1 期 - 首页优化；技术调研-如何爬取游戏资源&自动化部署；iOS Crushmash；运营后台支持下发 40000 消息扩容商品；注册登录优化,,,,,,,,,,,,,,,
177,11-17-2025,临时,临时发版,1. 【站内信配置，特批】Claude 3.7 Sonnet、Ultra Eco 3.7 Sonnet 升级通知；2. 【前端发版，P0】处理聊天语言参数漏传，导致模型回复语言设置错误（默认未按照用户浏览器语言设置） 徐唯原；3. 【前端发版，P1】图片上传失败时，点击save按钮需要重新触发上传 & 补充图片上传失败埋点；4. 【服务端发版，P2】处理janitor站非流式请求在某些模型上随机报错；5. 【服务端发版，P0】解决总结失败情况下埋点未上报的bug；cc徐唯原,,,,,,,,,,,,,,,
175,11-14-2025,临时,临时发版,1. 【运营临时需求】- 潜力创作者/OC banner轮播,,,,,,,,,,,,,,,
173,11-13-2025,临时,临时发版,1. 【线上bug p1】修复Payssion支付升级档位后，续费降档问题；2. 【配置调整】Payssion支付俄罗斯地区放量，尾号0-79,,,,,,,,,,,,,,,
174,11-13-2025,临时,临时发版,【线上bug P0】修复OC Rating是18+被人审为二级后，只有开启三级开关的用户才能访问聊天页，其余非创作者都展示404页面的问题,,,,,,,,,,,,,,,
172,11-12-2025,临时,临时发版,1. 【配置调整】GB地区成人认证放量调整至尾号 0-79；2. ~~【配置调整】Payssion支付俄罗斯地区放量调整至尾号 0-79 ~~~~~~~~ ~~~~~~~~ ~~；3. 【配置调整】Onlypay 支付渠道排序调整，见配置表,,,,,,,,,,,,,,,
171,11-10-2025,临时,临时发版,1. 【线上bug p1】修复Web活动 tag OC 在编辑时丢失其他 tag 的问题徐唯原；2. 【特批，CO导流落地页需求】-新的注册/付费前置入口,,,,,,,,,,,,,,,
169,11-07-2025,临时,临时发版,1. 【运营临时需求】- 潜力创作者/OC banner轮播；2. 【服务端临时发版，线上问题P1】修复continue后图片存储问题；3. 【线上bug p1】修复Web首页smash入口无法关闭的问题,,,,,,,,,,,,,,,
170,11-07-2025,临时,临时发版,3. 【线上bug p1】修复Web首页smash入口无法关闭的问题,,,,,,,,,,,,,,,
166,11-04-2025,临时,临时发版,【线上bug p0】修复新版App端使用bt路由支付时，取消支付跳转回app内的弹窗，支付渠道不正确的bug,,,,,,,,,,,,,,,
167,11-04-2025,临时,临时发版,1. 【急急如律令】成人认证增加付费用户免认证逻辑；2. 【急急如律令】Payabl 订单增加 resend notification,,,,,,,,,,,,,,,
168,11-04-2025,临时,临时发版,cc徐唯原,,,,,,,,,,,,,,,
164,10-31-2025,6.6.0,正式发版,Payabl 订单增加 resend notification；成人认证增加付费用户免认证逻辑；Rapyd 支付，支持会员订阅/升级；Rapyd 支付 管理订阅；BT支付路由接入Rapyd支付渠道；成人认证商品接入 Rapyd支付；感恩节营销活动；Store页面 消息扩容商品UI设计优化；GP包/Crushmash包增加 8000 credits挡位；Xpate 支付调研；商业化模块重构；首页oc卡片tag展示优化；聊天内增加图片功能 - 优化1；聊天内增加图片功能 - 优化2；continue优化；gork/ultra gork 展示了推理内容；IndexTTS部署测试；创建OC流程 - tag选中交互优化；创建OC流程 - 一键导入流程改动；创建流程优化 - 优化场景卡编辑交互；创建功能布局调整；创建OC流程 - preview新增feeds流样式；创建流程优化 - 优化移动端文本输入交互；配合集群升级；搜索服务等配合集群升级；支付服务等配合集群升级；个人空间页-埋点补充；新增创作者月榜；创作者资源位更新；APP端相关配合集群升级,,,,,,,,,,,,,,,
165,10-31-2025,临时,临时发版,1. 【运营临时需求】- 潜力创作者/OC banner轮播；2. 【特批】- 万圣节活动tag及banner上线；3. 【特批】- 服务端互动埋点补充OC分级信息；4. 【特批】- Web端多语言更新，调整创建OC页Rating模块提示,,,,,,,,,,,,,,,
163,10-27-2025,6.5.0,正式发版,PC web 订阅页面支持鼠标拖拽滑动；侧边栏订阅入口标签引导优化；畅聊包购买接入 Payabl支付渠道；会员+畅聊包 组合包支持bt支付；订阅页面优化实验；store页面数据完善；聊天内增加图片功能 - 优化4；聊天内增加图片功能 - 优化6；聊天页/memory页右边侧边栏UI优化；群聊告警；IndexTTS部署测试；优化编辑流程loading逻辑；后台配置站内信优化；处理intro和greeting翻译中翻译失败的case；彈窗重構 - 替換、回測所有彈窗；服务端埋点写入数仓优化；調研訪問首頁到聊天之間的使用路徑，體驗發生的瓶頸處、改善處；小弹窗调整颜色；Crushmash - 消息打分，feedback；Crushmash - 通知页，通知设置；Crushmash - 消息兑换；Mopoga落地页需求,,,,,,,,,,,,,,,
162,10-23-2025,临时,临时发版,【线上bug P0】修复crushmash包服务端埋点未收集问题,,,,,,,,,,,,,,,
161,10-22-2025,临时,临时发版,【配置调整】将**加拿大**和**澳大利亚**两个国家的网页侧边栏导流入口及引导下载App Banner中的 iOS 渠道包更换为 App Store 版本徐唯原,,,,,,,,,,,,,,,
160,10-16-2025,临时,临时发版,【配置调整】调整Payssion支付渠道放量，暂停放量，排查重复扣款问题；【线上bug P1】修复Payssion支付重复扣款问题，恢复线上放量；【配置调整】调整Latipay放量，隐藏支付渠道,,,,,,,,,,,,,,,
158,10-14-2025,临时,临时发版,【线上优化】优化翻译任务执行流程 ，尝试解决翻译服务卡死问题的修复效果；版本：；crushon-translate: main-617eee4；内容：；修复翻译引擎无限循环未检查 context 导致 worker 卡死问题,,,,,,,,,,,,,,,
159,10-14-2025,临时,临时发版,1. 【线上bug p1】修复新增或修改的图片有under review状态时，再次新增或编辑了图片并且这次都通过了，此时本应该在审核队列的图片被踢出队列，导致不会在后台出现的问题,,,,,,,,,,,,,,,
156,10-10-2025,6.4.0,正式发版,Latipay 接入续费管理；basistheory 支付路由支持购买 Pro畅聊包；会员+畅聊包 组合购买增加支付渠道；新增Credits商品档位；支付渠道配置增加区分国家/地区；直连支付页面优化；消息/钻石/金币 icon设计优化；OC卡片more菜单UI优化；运营活动万圣节tag活动；首页banner；continue空回复问题排查&处理；gemini 供应商接入；gemini 回复ext问题处理；新模型测试Claude 4.5；聊天bug处理 - 历史会话无法pin消息；聊天內容多 Tab 同步；聊天内增加图片功能 - 优化；聊天内增加图片功能 V1.0；聊天页右边侧边栏UI优化；默认模型全切给leo；VIP音色限定下调vip等级到standard（目前限制了luxe）；个人空间页UI优化；个人空间页UI优化；后台配置站内信优化；调整ts数据（为了做其他合规优化要完成的前置需求）；合规优化 - 2.3；合规优化 - 2.5；合规优化 - 2.6；oc 表單代碼整合；彈窗重構 - 替換、回測所有彈窗,,,,,,,,,,,,,,,
157,10-10-2025,临时,临时发版,1. 【运营临时需求】- 潜力创作者/OC banner轮播,,,,,,,,,,,,,,,
155,10-09-2025,临时,临时发版,【**线上bug p1**】修复payabl订阅续费时，有概率重复扣费的问题,,,,,,,,,,,,,,,
153,09-29-2025,临时,临时发版,【**配置调整**】调整AW2 放量，恢复为尾号20-99，预期月付/年付默认支付流量为40%,,,,,,,,,,,,,,,
154,09-29-2025,临时,临时发版,【线上p1 bug】 – 修复首页/搜索结果页/他人页-OC卡片的UI问题 </p><p>；产品负责人：</p><p>测试负责人：</p><p>前端负责人：</p>,,,,,,,,,,,,,,,
152,09-28-2025,临时,临时发版,【配置调整】aw2购买订阅页面加载无法完成，调整购买订阅会员aw2渠道放量,,,,,,,,,,,,,,,
150,09-26-2025,6.3.0,正式发版,Payssion 支付接入；GPU资源调整；Taurus V2 标注即将下线；continue空回复问题排查&处理；deepseek处理；free 模型兜底逻辑切换；instant 下线；pisces 和 aries的资源移给其他模型；找更稳定的模型渠道；默认模型全切给leo；语音AB测试-下线与推全；语音模型下线处理；oc metric 优化；OC角色详情页-直接展示编辑按钮；OC动图取首帧 - 策略优化；创建OC流程 - 取消默认选择SFW分级；创建OC流程 - 取消默认选择性别/分级；圖片上傳壓縮；搜索结果页 - 用户卡片UI优化；个人空间页UI优化；主态个人OC卡片展示编辑和分享入口；后台搜索提示回调重构；聊天内增加图片功能；Debug url 生成頁面；彈窗重構；埋點上報規範化；排查 userPreference 問題；實現 POST SSE；網站 cookie 加上 uid 用於防護策略；iOS Crushmash,,,,,,,,,,,,,,,
151,09-26-2025,临时,临时发版,1. 【运营临时需求】- 潜力创作者/OC banner轮播,,,,,,,,,,,,,,,
149,09-25-2025,临时,临时发版,【**特批**】web端侧边栏pricing入口显示气泡引导，推广bundle组合包,,,,,,,,,,,,,,,
148,09-24-2025,临时,临时发版,1. 【**线上p1 bug**】针对 OC 卡片，修复 MP4 图像未按从上到下展示、进而导致OC脸部被截断的问题,,,,,,,,,,,,,,,
147,09-23-2025,临时,临时发版,1. 【线上bug p1】补充BT支付路由表单页面埋点；2. 【運營临时需求】：支付渠道审核合规內容調整 徐唯原；3. 【急急如律令】Standard/Premium用户发送站内信，告知Deluxe下线，引导购买组合包,,,,,,,,,,,,,,,
144,09-22-2025,临时,临时发版,【**特批**】Deluxe会员档位下线，Deluxe档位引导购买畅聊包/组合包 cc,,,,,,,,,,,,,,,
145,09-22-2025,临时,临时发版,【**急急如律令需求上线**】；BT支付路由上线，前端；TOS页面更新，增加BT要求补充文案,,,,,,,,,,,,,,,
146,09-22-2025,临时,临时发版,【**配置调整**】调整AW2、AW3支付渠道入组条件，增加注册时间及发送消息限制  cc,,,,,,,,,,,,,,,
142,09-19-2025,临时,临时发版,1. **【运营临时需求】：**潜力创作者 / OC banner 轮播,,,,,,,,,,,,,,,
143,09-19-2025,临时,临时发版,【**急急如律令需求上线**】；BT支付路由上线，前端/服务端发版，客户端无需发版；TOS页面更新，增加BT要求补充文案；支付渠道配置调整；月付默认支付：payabl/aw2/s站 为 **40/40/20；年付默认支付：payabl/aw2/支付路由/APG2  为 **40/40/10/10,,,,,,,,,,,,,,,
141,09-17-2025,临时,临时发版,a. 【线上bug，P0】 S 站登入沒辦法使用網站,,,,,,,,,,,,,,,
139,09-15-2025,临时,临时发版,【P1】尝试解决报警群memory搜索服务使用cpu过高的问题。；2. 【服务端配置修改，特批】；continue优化放量 20%；3. 【web端临时发版，特批】；【线上bug，p1】 修复free用户会员档位更新时间前端展示不正确的问题；【线上bug，P0】非英語國家登入，跳轉回網站時會報錯  徐唯原,,,,,,,,,,,,,,,
140,09-15-2025,临时,临时发版,【线上bug，p1】 修复free用户会员档位更新时间前端展示不正确的问题；【线上bug，P0】非英語國家登入，跳轉回網站時會報錯  徐唯原,,,,,,,,,,,,,,,
137,09-12-2025,6.2.0,正式发版,Latipay 接入续费管理；Payssion 支付接入；basistheory 支付路由支持购买Pro畅聊包；英国地区成人认证方案；新人礼包 - 新增下发条件；首页 Banner 数据需求；找更稳定的模型渠道 DeepSeek；找更稳定的模型渠道 Gemini Flash；聊天内增加图片功能；新渠道测试 - 火山；音色/模型下线UI需求；个人空间页UI优化；聊天内增加图片功能；Crushmash - Pin；Crushmash - Memory；Crushmash - Task,,,,,,,,,,,,,,,
138,09-12-2025,临时,临时发版,a. 默认模型60% leo 和 40% taurus；b. 1 发版后观测线上资源情况，决定是否要给Leo扩充资源；2. 【运营临时需求】- 潜力创作者/OC banner轮播,,,,,,,,,,,,,,,
136,09-10-2025,临时,临时发版,【线上bug P1】补齐web端组合包订阅页面购买实验埋点,,,,,,,,,,,,,,,
134,09-08-2025,临时,临时发版,服务端+前端发版；1. **【线上bug p1】：**修复**导入PNG**创建OC时，自动设置了头像但仍提示“未设置头像”的问题；2. **【线上 bug p0】：**修复线上服务重启且base prompt 延迟**展示数据**出错的问题；3. **【服务端配置修改，特批】**语音ab配置修改（本期有配置逻辑修改，为了避免同步上线的时候造成线上的问题，所以主版本上线后配置单独发布）,,,,,,,,,,,,,,,
135,09-08-2025,临时,临时发版,1. 【服务端配置修改，线上bug】语音ab配置修改，线上应该有10%的留白，分组有误。；2. 【服务端发版，线上bug】gif转mp4功能导致数据库压力升高，需要补充索引 + 修改代码逻辑；3. 【前端发版，线上bug】修复组合包支付失败，但是提示支付成功的bug；4. 【前端发版，线上bug】修复在网站访问期间，未被使用的设备存储状态且预期登出时不被清除，有可能因登出而被清除的bug 徐唯原,,,,,,,,,,,,,,,
131,09-05-2025,6.1.0,正式发版,Pro畅聊包 - GP市场包支付；basistheory 支付路由接入；消息/钻石/金币 icon设计优化；消息扩容商品开放展示；聊天bug处理 - 历史会话无法发消息；聊天内增加图片功能；模型选择弹窗-所选项未改变时，Save 按钮置灰；AI 语音新渠道测试 - 火山接入；leo容量扩充；GPT 5新模型测试；搜索引擎调研；创作者更新Nudge按钮功能优化；处理intro和greeting翻译中翻译失败的case；埋点上报规范化；SEO优化：首页10个OC 图片 alt 调整；iOS Crushmash - 订阅页升降级&IOS支付接入；iOS Crushmash - 替换 链接 & 确认协议文本替换；iOS Crushmash - 埋点走查（首页/聊天/订阅页转化）；iOS Crushmash - IOS 订阅联调；iOS Crushmash - 聊天中历史消息上限；iOS Crushmash - greeting& introduction(聊天+oc詳情頁）& 模型decription接入翻译；iOS Crushmash - 配置协议到新ios域名；支持运营后台下发畅聊包；登录相关数据需求,,,,,,,,,,,,,,,
132,09-05-2025,临时,临时发版,服务端+前端发版；1. **【特批，调整配置】：**线上deepseek出问题，需要从默认模型里移除；2. **【运营临时需求】：**潜力创作者 / OC banner 轮播,,,,,,,,,,,,,,,
133,09-05-2025,临时,临时发版,1. 【**推理服务升级，特批**】推理服务升级，灰度20%free leo线路使用新推理服务,,,,,,,,,,,,,,,
130,09-04-2025,临时,临时发版,产品负责人：；前端负责人：；测试负责人：；1. **【线上bug p1】**修复线上订阅页面s站年付支付埋点错误；产品负责人：；前端负责人：；测试负责人：；2. 【**配置调整，特批】**调整支付渠道配置，payabl继续放量,,,,,,,,,,,,,,,
126,09-02-2025,临时,临时发版,产品负责人：；服务端负责人：；测试负责人：；发版内容：；1. 调整支付渠道配置，将默认月付/年付支付渠道 放量20% 给payabl cc,,,,,,,,,,,,,,,
127,09-02-2025,临时,临时发版,前端臨時發版；产品负责人：徐唯原；前端负责人：徐唯原；测试负责人：；发版内容：；1. 通知嚴重的安全性問題：用戶可以透過評論來做到 xss 攻擊；a. (https://applink.feishu.cn/client/message/link/open?token=Amh57pLCBUATaLayBFBAQAQ%3D)；運營後台臨時發版；产品负责人：徐唯原；前端负责人：；测试负责人：；发版内容：,,,,,,,,,,,,,,,
128,09-02-2025,临时,临时发版,产品负责人：徐唯原；前端负责人：徐唯原；测试负责人：；发版内容：；1. 通知嚴重的安全性問題：用戶可以透過評論來做到 xss 攻擊；a. (https://applink.feishu.cn/client/message/link/open?token=Amh57pLCBUATaLayBFBAQAQ%3D)；運營後台臨時發版；产品负责人：徐唯原；前端负责人：；测试负责人：；发版内容：；1. 運營後台嚴重的安全性問題：用戶可以透過輸入內容來做到後台的 xss 攻擊,,,,,,,,,,,,,,,
129,09-02-2025,临时,临时发版,产品负责人：徐唯原；前端负责人：；测试负责人：；发版内容：；1. 運營後台嚴重的安全性問題：用戶可以透過輸入內容來做到後台的 xss 攻擊；a. (https://applink.feishu.cn/client/message/link/open?token=Amh57pLCBUATaLbhNprMgBM%3D),,,,,,,,,,,,,,,
125,09-01-2025,临时,临时发版,1️⃣  新增Web默认二级国家白名单；产品负责人：；测试负责人：；前端负责人：；发版内容：；1. **新增Web默认二级国家白名单（目前国家包含 巴西、加拿大、印度）；2. **白名单优先级如下：优先检查 18+ 弹窗白名单，如果命中（目前仅欧洲国家配置），则弹 18+ 弹窗；否则检查默认二级开关白名单，命中则网页默认二级；若两个白名单都未命中，则默认一级，不弹 18+ 弹窗。；cc徐唯原,,,,,,,,,,,,,,,
123,08-29-2025,临时,临时发版,三端发版；1. ****: 运营 8 月份tag 活动：1970s cc；2. **** 个人页滑动优化；3. **【特批，调整配置】：**控制语音渠道的成本和用量问题，临时限制caliope模型免费用户用量；4. **【运营临时需求】：**潜力创作者 / OC banner 轮播,,,,,,,,,,,,,,,
124,08-29-2025,临时,临时发版,产品负责人；前端负责人；测试负责人；发版原因：线上 bug P0；发版内容：**修复Web未登录状态通过首页Banner跳转到store页面不会展示登录弹窗一直loading的问题；cc徐唯原,,,,,,,,,,,,,,,
